rabbits,wolves,height, prec, temp
2,0,10.160000,14.233356,-0.727270
3,1,5.080000,13.256111,11.416690
2,2,0.000000,16.402004,15.606927
1,1,23.921389,17.862776,17.629712
2,0,69.329271,14.165686,25.324885
3,1,102.314336,13.271338,23.521368
4,2,97.000009,10.306383,23.438233
5,3,93.306747,8.282932,23.898977
6,4,86.526191,7.535973,21.601872
7,5,75.126674,9.993418,9.999665
8,6,67.579315,7.776548,11.688124
9,7,63.174099,9.984004,8.403986
10,8,61.555991,14.828427,9.962220
11,9,44.400255,16.742577,6.191146
12,10,34.769137,17.303108,17.445159
13,11,7.038730,17.315765,23.013857
12,12,14.591764,16.721455,23.917092
11,11,0.000000,11.349690,21.391640
10,10,0.000000,11.001264,30.664821
9,9,0.000000,7.714256,24.514597
8,8,0.000000,8.414058,22.913212
7,7,0.000000,8.611299,14.115164
6,6,0.000000,11.104878,9.143278
5,5,20.287042,10.035989,6.171752
6,4,19.915110,14.027151,7.580609
7,5,7.178775,16.427864,12.875548
6,6,0.000000,16.107340,15.608448
5,5,22.708883,16.578045,18.205494
6,4,58.597867,16.615822,22.810304
7,5,81.218608,11.938770,25.000593
8,6,72.059720,10.886158,31.607742
9,7,54.444569,7.471572,20.659417
10,8,31.595484,8.519190,16.535948
11,9,20.458814,10.020309,11.866883
10,10,28.984132,9.175539,5.863961
11,9,31.485418,11.015987,3.754487
12,10,5.464616,13.740222,-0.617398
11,11,0.000000,15.388775,9.762802
10,10,0.000000,15.736550,13.518066
9,9,0.000000,15.706903,19.578209
8,8,20.227636,13.963869,25.565605
7,7,29.116517,14.755002,27.488467
8,6,13.313097,12.448508,25.643014
7,7,0.000000,10.617883,23.755603
6,6,0.000000,6.912770,18.290083
5,5,0.000000,9.314537,10.582538
4,4,11.427025,8.804994,13.122650
4,3,19.570290,9.746383,6.973881
5,4,41.426386,12.721222,7.215436
6,5,32.625940,14.856584,6.532018
7,6,22.634103,16.072304,16.994722
8,7,8.459435,16.029947,15.517152
7,8,33.645471,15.961109,20.443641
8,7,64.612374,13.910747,29.109374
9,8,66.832374,9.388638,29.113833
10,9,44.104464,9.743591,26.292407
11,10,18.810843,7.983962,21.051564
10,11,0.000000,8.244989,11.466548
9,10,0.000000,10.262085,7.092599
8,9,0.000000,12.820362,0.598106
7,8,0.000000,13.310518,0.089315
6,7,0.000000,14.962893,4.678069
5,6,0.000000,16.705622,11.360181
4,5,0.000000,16.902672,15.721188
3,4,16.533356,15.641064,24.140375
4,3,55.567064,14.671850,30.950809
5,4,49.947911,9.375368,30.226237
6,5,37.271291,7.702585,28.895331
7,6,22.069702,8.215044,16.287488
8,7,4.396774,7.953717,14.517456
7,8,19.802878,10.029515,5.960344
7,7,36.058410,9.357533,8.809361
