rand1,rand2,rabbits,wolves,height, prec, temp
0.000000,0.000000,2,0,10.160000,0.000000,-17.777778
-9.990570,1.198079,2,1,5.080000,14.233356,-0.727270
6.692179,-1.572316,1,2,0.009439,13.256111,11.416690
5.268847,0.538301,0,1,26.470829,16.402004,15.606927
-1.442900,1.999073,1,0,74.418713,17.862776,17.629712
3.442661,-0.662742,1,1,109.943783,14.165686,25.324885
-4.980056,0.236061,2,0,109.709457,13.271338,23.521368
-5.129701,-0.658341,2,1,111.096194,10.306383,23.438233
0.876021,-0.888641,2,2,111.935639,8.282932,23.898977
5.706996,-0.600323,3,1,110.696121,7.535973,21.601872
-4.824224,1.857122,3,2,113.308762,9.993418,9.999665
7.180756,-1.395024,3,3,121.603546,7.776548,11.688124
6.445696,-0.980720,4,2,135.225438,9.984004,8.403986
9.250511,1.793151,4,3,133.309702,14.828427,9.962220
-2.713802,1.914150,4,4,141.458585,16.742577,6.191146
8.577667,1.439404,5,3,134.048174,17.303108,17.445159
8.248560,1.452061,5,4,161.921202,17.315765,23.013857
0.908628,1.893026,5,5,156.726906,16.721455,23.917092
-8.813568,-1.685586,6,4,148.923681,11.349690,21.391640
7.878159,0.036540,6,5,149.390804,11.001264,30.664821
1.984138,-1.457316,6,6,134.179281,7.714256,24.514597
8.067406,0.277762,7,5,121.479436,8.414058,22.913212
2.583676,0.475003,7,6,110.135332,8.611299,14.115164
2.600031,1.933306,7,7,127.882369,11.104878,9.143278
2.427673,-0.928736,8,6,122.430434,10.035989,6.171752
4.963612,0.991875,8,7,104.614099,14.027151,7.580609
9.318123,1.599436,8,8,90.764615,16.427864,12.875548
5.271585,0.243637,9,7,108.393500,16.107340,15.608448
-0.406494,0.714341,9,8,134.122492,16.578045,18.205494
-1.083590,1.787395,9,9,149.123223,16.615822,22.810304
-2.317450,-1.096507,10,8,134.884335,11.938770,25.000593
9.575413,-0.078565,10,9,112.189189,10.886158,31.607742
-4.955186,-1.700001,10,10,86.800099,7.471572,20.659417
-3.411671,0.382893,11,9,75.663434,8.519190,16.535948
-1.463231,1.884014,11,10,84.188757,10.020309,11.866883
-3.302738,0.003966,11,11,84.150038,9.175539,5.863961
-1.923405,0.051263,12,10,58.129233,11.015987,3.754487
-9.792800,0.704946,12,11,28.159236,13.740222,-0.617398
3.715179,0.560347,10,12,0.000000,15.388775,9.762802
1.508900,-0.127153,9,11,0.000000,15.736550,13.518066
2.064390,-0.156800,8,10,20.227636,15.706903,19.578209
3.875952,-0.864559,7,9,29.116517,13.963869,25.565605
2.160720,1.719725,8,8,13.313097,14.755002,27.488467
-1.161092,1.483785,7,7,0.000000,12.448508,25.643014
0.617952,1.446310,6,6,0.000000,10.617883,23.755603
-0.254227,-1.223526,5,5,0.000000,6.912770,18.290083
-3.775051,1.178241,4,4,11.427025,9.314537,10.582538
9.762901,-0.366579,4,3,19.570290,8.804994,13.122650
3.871507,-1.218341,4,4,41.426386,9.746383,6.973881
4.306301,-0.314054,5,3,35.165940,12.721222,7.215436
-2.100231,0.028157,5,4,27.714103,14.856584,6.532018
7.766882,0.208600,5,5,18.619435,16.072304,16.994722
-5.245510,0.166244,6,4,51.425471,16.029947,15.517152
-5.343582,1.132682,6,5,84.932374,15.961109,20.443641
5.078352,0.875470,6,6,92.232374,13.910747,29.109374
5.086383,-1.576085,7,5,77.124469,9.388638,29.113833
5.184194,0.572019,7,6,59.450848,9.743591,26.292407
4.716440,-0.152334,7,7,42.682569,7.983962,21.051564
-2.183834,0.108693,8,6,38.196283,8.244989,11.466548
-1.091192,1.090513,8,7,39.096775,10.262085,7.092599
-7.604889,1.855638,8,8,23.115735,12.820362,0.598106
-8.520719,0.275242,9,7,2.831361,13.310518,0.089315
-5.437340,0.134466,7,8,0.000000,14.962893,4.678069
-2.375293,0.841918,6,7,0.000000,16.705622,11.360181
-4.878247,1.038967,5,6,11.453356,16.902672,15.721188
1.310538,0.812636,4,5,45.407064,15.641064,24.140375
8.392933,1.636574,5,4,39.787911,14.671850,30.950809
7.088703,-1.589355,5,5,27.111291,9.375368,30.226237
9.869459,-1.468988,6,4,14.449702,7.702585,28.895331
-3.858898,0.078748,4,5,0.000000,8.215044,16.287488
3.307799,-0.182580,3,4,25.566104,7.953717,14.517456
-3.129249,0.857943,4,3,51.981638,10.029515,5.960344
