Rand1, Rand2, rabbits,wolves,height, prec, temp
-9.990570,1.198079,1,2,7.620000,0.000000,-17.777778
6.692179,-1.572316,2,1,2.684129,16.026506,2.148497
5.268847,0.538301,1,0,49.748092,14.291388,16.397667
-1.442900,1.999073,1,1,60.773771,16.402004,21.358460
3.442661,-0.662742,1,2,65.042527,16.827499,22.610686
-4.980056,0.236061,2,1,60.240756,12.372535,28.200658
-5.129701,-0.658341,2,2,58.631959,11.200785,23.521368
0.876021,-0.888641,2,3,67.698629,8.513231,20.562464
5.706996,-0.600323,3,2,82.402121,7.247656,18.917999
-4.824224,1.857122,3,3,105.598341,7.535973,15.850343
7.180756,-1.395024,3,4,96.712624,11.028694,5.018692
6.445696,-0.980720,4,3,96.120083,9.569700,8.812353
9.250511,1.793151,4,4,92.747469,12.054556,8.403990
-2.713802,1.914150,4,5,117.380917,16.621578,12.837986
8.577667,1.439404,5,4,128.313466,17.777853,11.172121
8.248560,1.452061,5,5,119.942698,17.303108,23.196695
0.908628,1.893026,5,6,105.023308,16.280487,27.994830
-8.813568,-1.685586,6,5,90.625205,14.928303,26.792861
7.878159,0.036540,6,6,86.329033,9.279138,21.391640
1.984138,-1.457316,6,7,68.865457,9.208113,27.789052
8.067406,0.277762,7,6,68.885369,6.678980,19.533619
2.583676,0.475003,7,7,82.767516,8.414058,17.161681
2.600031,1.933306,7,8,73.497113,9.646575,9.134191
2.427673,-0.928736,8,7,56.244033,12.898030,6.267505
4.963612,0.991875,8,8,36.210532,12.106541,6.171754
9.318123,1.599436,8,9,34.514676,15.820302,10.456376
5.271585,0.243637,9,8,49.610499,17.463140,17.856522
-0.406494,0.714341,9,9,40.522275,16.107340,21.359982
-1.083590,1.787395,9,10,22.641147,15.542768,23.186467
-2.317450,-1.096507,8,9,4.135993,14.822672,25.686073
9.575413,-0.078565,7,8,0.000000,9.868217,25.000593
-4.955186,-1.700001,6,7,0.000000,9.093007,28.731969
-3.411671,0.382893,5,6,15.954511,6.436296,15.678440
-1.463231,1.884014,6,5,18.707053,8.519190,10.784416
-3.302738,0.003966,6,6,5.006361,11.055586,6.885910
-1.923405,0.051263,5,5,0.000000,10.968691,2.988190
-9.792800,0.704946,4,4,0.000000,13.086539,3.754489
3.715179,0.560347,3,3,0.000000,15.533373,2.258369
1.508900,-0.127153,2,2,41.809086,16.424051,14.743777
2.064390,-0.156800,2,3,65.714991,15.736550,19.269604
3.875952,-0.864559,3,2,61.752820,14.671627,24.559182
2.160720,1.719725,3,3,51.819230,12.170717,28.441374
-1.161092,1.483785,3,4,42.154336,12.684449,27.488467
0.617952,1.446310,4,3,40.417252,10.655357,22.767245
-0.254227,-1.223526,4,4,57.592202,9.582606,18.774626
-3.775051,1.178241,4,5,67.782045,6.912770,12.538552
9.762901,-0.366579,5,4,56.875966,10.349813,5.601565
3.871507,-1.218341,5,5,59.793250,10.598145,10.246879
4.306301,-0.314054,5,6,49.008743,11.816935,6.973883
-2.100231,0.028157,6,5,53.024578,14.514373,10.091203
7.766882,0.208600,6,6,64.109129,15.891860,11.512994
-5.245510,0.166244,6,7,55.441839,16.072304,22.746260
-5.343582,1.132682,7,6,60.455961,14.994671,20.498127
5.078352,0.875470,7,7,47.339882,14.167958,23.319410
5.086383,-1.576085,7,8,27.145964,11.840194,29.109374
5.184194,0.572019,8,7,7.661536,7.595488,26.238064
4.716440,-0.152334,7,6,3.005795,8.708315,21.311429
-2.183834,0.108693,6,5,23.064765,7.983962,15.300034
-1.091192,1.090513,6,6,8.113318,9.280266,6.485575
-7.604889,1.855638,5,5,0.000000,12.055237,4.216826
-8.520719,0.275242,4,4,0.000000,14.890915,0.598109
-5.437340,0.134466,3,3,0.000000,15.103669,2.965082
-2.375293,0.841918,2,2,10.742910,15.998169,9.659044
-4.878247,1.038967,2,3,46.774136,16.705622,17.111717
1.310538,0.812636,3,2,59.951554,15.867394,20.702159
8.392933,1.636574,3,3,50.511980,13.847913,27.016144
7.088703,-1.589355,3,4,40.375011,12.601297,30.950809
9.869459,-1.468988,4,3,30.586045,7.582217,27.350464
-3.858898,0.078748,4,4,20.970702,6.667309,23.914354
3.307799,-0.182580,4,5,24.339454,8.215044,10.535956
-3.129249,0.857943,5,4,23.858146,8.988993,9.536482
7.175367,-1.607191,5,5,8.932093,11.822667,3.084573
